Number of points: 232050
SW:(40.700000 , -74.000000)
NE:(40.800000 , -73.930000) 

Cluster          0 : [  33,  6514]
Cluster   10000000 : [  12,   540]
Cluster   20000000 : [   9,   272]
Cluster   30000000 : [   0,    17]
Cluster    1000000 : [  18, 38774]
Cluster   11000000 : [  20, 14022]
Cluster   21000000 : [   6,   288]
Cluster   31000000 : [   7,   226]
Cluster    2000000 : [  25, 31599]
Cluster   12000000 : [   9, 56611]
Cluster   22000000 : [  15, 19940]
Cluster   32000000 : [  15,  1192]
Cluster    3000000 : [   4,  2015]
Cluster   13000000 : [  14, 15370]
Cluster   23000000 : [  20, 16535]
Cluster   33000000 : [  19,  2187]

Execution time: 11m57.918168s
Number of CPUs: 12
