Number of points: 232050
SW:(40.700000 , -74.000000)
NE:(40.800000 , -73.930000) 

Cluster          0 : [   1,    31]
Cluster   10000000 : [   4,   118]
Cluster   20000000 : [   0,     3]
Cluster   30000000 : [   0,     3]
Cluster   40000000 : [   0,     5]
Cluster   50000000 : [   1,    25]
Cluster   60000000 : [   0,    11]
Cluster   70000000 : [   0,     3]
Cluster   80000000 : [   0,     3]
Cluster   90000000 : [   0,     0]
Cluster    1000000 : [  13,   985]
Cluster   11000000 : [   9,   876]
Cluster   21000000 : [   8,   165]
Cluster   31000000 : [   3,    80]
Cluster   41000000 : [   0,    10]
Cluster   51000000 : [   5,   110]
Cluster   61000000 : [   3,    88]
Cluster   71000000 : [   0,    16]
Cluster   81000000 : [   0,     3]
Cluster   91000000 : [   0,     1]
Cluster    2000000 : [   6,  5101]
Cluster   12000000 : [   9,  3558]
Cluster   22000000 : [  10,  2218]
Cluster   32000000 : [   7,   477]
Cluster   42000000 : [   0,    14]
Cluster   52000000 : [   1,    36]
Cluster   62000000 : [   2,    65]
Cluster   72000000 : [   1,    41]
Cluster   82000000 : [   0,     5]
Cluster   92000000 : [   0,     2]
Cluster    3000000 : [  12,  5498]
Cluster   13000000 : [   2,  8760]
Cluster   23000000 : [   5,  4365]
Cluster   33000000 : [  13,  1329]
Cluster   43000000 : [   0,    11]
Cluster   53000000 : [   0,    14]
Cluster   63000000 : [   1,    67]
Cluster   73000000 : [   1,    18]
Cluster   83000000 : [   0,     8]
Cluster   93000000 : [   0,    13]
Cluster    4000000 : [   6,  6330]
Cluster   14000000 : [   2,  9790]
Cluster   24000000 : [   5,  8553]
Cluster   34000000 : [   5,  6032]
Cluster   44000000 : [   3,   892]
Cluster   54000000 : [   0,    24]
Cluster   64000000 : [   1,    53]
Cluster   74000000 : [   3,   102]
Cluster   84000000 : [   4,    89]
Cluster   94000000 : [   2,    94]
Cluster    5000000 : [  11,  4353]
Cluster   15000000 : [   4, 10764]
Cluster   25000000 : [   1, 10329]
Cluster   35000000 : [   1, 15660]
Cluster   45000000 : [   3,  8902]
Cluster   55000000 : [   7,  1797]
Cluster   65000000 : [   4,    74]
Cluster   75000000 : [   2,    63]
Cluster   85000000 : [   7,   204]
Cluster   95000000 : [   4,   122]
Cluster    6000000 : [  12,  1312]
Cluster   16000000 : [   5,  4340]
Cluster   26000000 : [   1, 12393]
Cluster   36000000 : [   1,  9388]
Cluster   46000000 : [   3, 11442]
Cluster   56000000 : [   7,  6330]
Cluster   66000000 : [   4,  4619]
Cluster   76000000 : [   2,    95]
Cluster   86000000 : [   1,    20]
Cluster   96000000 : [   3,    77]
Cluster    7000000 : [   0,    18]
Cluster   17000000 : [   4,  1913]
Cluster   27000000 : [   7,  5791]
Cluster   37000000 : [   5,  1772]
Cluster   47000000 : [   3,  1140]
Cluster   57000000 : [   2,  7967]
Cluster   67000000 : [   2,  6578]
Cluster   77000000 : [   5,  3619]
Cluster   87000000 : [   2,    94]
Cluster   97000000 : [   0,     2]
Cluster    8000000 : [   0,     3]
Cluster   18000000 : [   1,    26]
Cluster   28000000 : [   4,  3293]
Cluster   38000000 : [   1,  4446]
Cluster   48000000 : [   1,  1934]
Cluster   58000000 : [   2,  1526]
Cluster   68000000 : [   4,  5688]
Cluster   78000000 : [   7,  1840]
Cluster   88000000 : [   3,   127]
Cluster   98000000 : [   0,     2]
Cluster    9000000 : [   0,     7]
Cluster   19000000 : [   0,     4]
Cluster   29000000 : [   1,    31]
Cluster   39000000 : [   4,  1913]
Cluster   49000000 : [  11,  2481]
Cluster   59000000 : [   9,   613]
Cluster   69000000 : [   4,   684]
Cluster   79000000 : [   7,   259]
Cluster   89000000 : [   8,   282]
Cluster   99000000 : [   2,    56]

Execution time: 2m51.5613367s
Number of CPUs: 12
